Speed_100m_m/s,Direction_100m_degrees,Temperature_2m_degrees_C,Pressure_0m_kPa
11.21,351.6,20.2,100.6
11.22,350.9,20.3,100.7
10.94,349.7,21.2,100.8
11.09,350.1,22.1,100.8
11.39,351.3,23.5,100.8
11.29,353.6,27.1,100.8
10.67,355.9,27.9,100.7
10.14,356,28.3,100.6
10.23,354.8,30.1,100.4
10.71,354.4,29.8,100.4
10.35,354.2,27.7,100.4
10.2,352.7,27.2,100.4
10.25,352,26.1,100.4
10.43,351.5,25.2,100.5
10.29,352.2,24.1,100.6
9.83,352.9,23.6,100.6
9.73,352.7,23.4,100.6
9.65,351.5,22.2,100.6
9.69,350.4,22.1,100.6
9.66,350.4,21.8,100.5
9.72,350.5,21.7,100.5
9.77,350.7,21.6,100.5
9.44,351.3,21.3,100.5
9.34,351.4,21.2,100.5
9.32,351.1,21.2,100.5
9.32,350.6,21.3,100.5
9.38,349.5,22.1,100.5
9.34,351.3,23.6,100.6
8.94,353.9,25.7,100.6
7.98,352.8,29.7,100.5
7.62,352.4,30,100.4
7.5,353.2,30.6,100.2
7.38,352.6,31.6,100.1
7.55,351.2,31.5,100
7.54,351.6,29.8,100
7.12,349.6,29.2,100
7.37,344.7,28.3,100
7.36,345.9,26.8,100.1
6.74,347.5,25.6,100.2
6.24,346.2,24.4,100.3
6.22,344.9,24,100.3
6.28,347.5,23.1,100.3
6.25,352.8,23,100.3
6.11,355.7,23,100.3
5.82,356.1,22.7,100.3
5.74,354.6,22,100.2
5.81,352.2,20.9,100.3
5.89,354.7,21,100.3
5.86,356.1,21.6,100.3
5.77,355.9,21.4,100.4
5.28,353.5,23.3,100.4
4.44,349.6,25.2,100.5
4,349,27,100.5
3.32,348.7,32.4,100.4
2.76,343.9,33.5,100.3
2.64,339.4,33.9,100.1
2.85,339.3,35.3,100
3.45,342.7,34.8,99.9
4.82,347.2,33.3,99.9
6.27,345.6,32,100
8.08,345.7,30.6,100.1
8.81,351.8,28.8,100.1
8.93,356.8,28.1,100.3
9.25,357.3,28,100.3
9.88,356.8,27.7,100.4
10.33,353.2,26.5,100.4
10.64,350.6,25.8,100.4
11.43,348.7,25.4,100.4
12.1,347.2,24.7,100.4
12.47,345.8,24.6,100.3
13.06,346.4,23.5,100.3
13.04,347.4,23.6,100.3
13.03,346,24.1,100.4
12.32,344,24.1,100.5
12.93,342.3,24.5,100.5
13.39,342.1,25.9,100.6
13.91,343.7,26.4,100.6
13.44,345,28.5,100.7
13.12,346,27.9,100.6
12.94,345.5,28.9,100.5
13.05,346.5,29,100.4
13.36,347.1,29,100.3
13,349.1,26.3,100.3
12.36,348.7,25.9,100.4
12.52,348,25.5,100.4
13.31,348.9,25.6,100.5
13.58,349.6,24.4,100.5
13.63,348.6,24,100.6
13.6,346.9,23.6,100.7
13.62,346.8,22.5,100.7
13.39,347.2,21.9,100.7
13.29,347,22,100.7
13.24,348.1,21.3,100.7
13.22,348.5,21.1,100.7
13.11,349.1,19.7,100.6
13.35,351.6,19.9,100.7
13.93,351.9,20.1,100.7
13.91,351.9,20.2,100.8
13.74,351.5,21,100.8
14.3,351,22.6,100.9
14.93,351.3,23.1,100.9
15.07,351.2,24.9,100.9
15.18,351.2,24.9,100.8
15.39,350.9,25.1,100.8
15.78,351.3,25.4,100.7
15.4,349.8,25.6,100.6
15.93,349.1,23.6,100.6
16.11,349.2,23,100.6
16.13,349.7,22.2,100.7
16.92,351,22.1,100.7
16.94,350,21.8,100.8
16.62,348.1,21.5,100.9
16.46,348.3,21.6,100.9
16.11,347.7,20.5,101
14.8,347.8,20,100.9
14.61,347.4,19.8,100.9
14.35,348,19.6,100.9
14.07,349.3,19.3,100.8
15.57,347.8,19.3,100.8
15.25,349.2,19.4,100.8
15.22,349,19.5,100.9
15.28,349.5,19.4,100.9
15.56,350.9,20.4,101
15.62,350.9,21.4,101.1
15.95,350.5,21.7,101.1
16.22,350,23.9,101
16.17,349.2,23.9,101
15.93,349.7,24.1,100.9
15.58,350,24.3,100.8
15.19,349.2,23.7,100.7
15.51,350.7,21.7,100.7
15.86,350.1,21.1,100.7
14.68,349.2,20.7,100.8
15.78,349.7,20.8,100.8
15.35,349.9,20.6,100.9
15.04,349.3,19.9,100.9
14.83,349.1,19.3,100.9
14.4,350.2,19.4,100.9
14.4,349.6,19.3,100.9
14.16,349.4,19.5,100.8
13.96,349.4,19.9,100.8
13.75,350,19.2,100.8
13.68,349.6,19.2,100.7
13.75,351.5,19.2,100.7
13.6,351.5,19.9,100.7
13.48,350.4,19.7,100.7
12.76,348.5,20.8,100.8
13.29,346.9,21.4,100.9
13.25,347.4,21.9,100.9
13.18,348.8,25,100.9
13.1,349.5,25.9,100.8
12.76,350,26.1,100.7
12.51,349,26.8,100.6
12.39,347.9,26.8,100.5
11.84,346.8,24.7,100.4
11.69,348.3,24.1,100.5
12.38,347.5,23.4,100.5
12.94,348.3,23.7,100.6
13.17,348.9,22.9,100.6
12.94,348.5,22.4,100.6
12.56,347.3,22.6,100.7
12.73,346.8,22,100.6
12.34,346.4,22.1,100.6
12.27,346.1,22.5,100.6
12.22,345.4,22.4,100.5
12.18,345.4,22.3,100.5
12.12,345.2,20.5,100.5
11.86,346.1,20.6,100.5
11.65,347.5,21.9,100.5
11.54,348.2,22,100.5
11.13,347.7,22.7,100.6
11.81,348.7,23,100.6
12.02,350.5,24,100.6
11.56,352.2,28.4,100.6
10.72,349.7,29.2,100.5
10.7,349.6,29.2,100.5
10.51,350.6,30,100.3
10.43,350.6,29.3,100.3
10.36,352.1,27.6,100.2
10.43,354.6,27,100.2
10.38,353.6,26,100.3
10.44,353.5,25.6,100.3
10.76,353.5,24.2,100.4
10.88,352.6,24.4,100.5
10.82,352,24.6,100.6
10.51,351.6,23.9,100.6
10.4,350.5,23.9,100.6
10.5,350.6,23.9,100.5
10.66,350.1,23.4,100.5
10.88,350.1,22.3,100.5
11.22,349.6,21.7,100.4
11.16,349.4,21.8,100.4
11.35,350.3,22.6,100.5
11.54,350.7,22.3,100.5
11.2,349.4,23.9,100.6
12.84,349.9,25.1,100.6
13.03,351.1,25.5,100.7
13.51,353.1,28.6,100.6
13.63,353.3,28.9,100.6
13.16,350.8,28.7,100.5
13.44,352,29,100.4
